player,season,pos,player_id,g,x3pa_per_game,x2pa_per_game,team,e_fg_percent,fga_per_game,x3p_percent,orb_per_game,x2p_percent,ft_percent,fg_percent,drb_percent,orb_percent,blk_percent,obpm,usg_percent,ast_percent,trb_percent,stl_percent,tov_percent,x3p_ar,ts_percent,f_tr,shooting_foul_committed,points_generated_by_assists,offensive_foul_drawn,and1,shooting_foul_drawn,fga_blocked,bad_pass_turnover,lost_ball_turnover,offensive_foul_committed
Bobby Hurley,1997,PG,hurlebo01,49,0.9,1.6,SAC,0.424,2.6,0.311,0.2,0.4,0.698,0.368,5.4,1.6,0.4,-2.1,14.4,33.8,3.5,2.3,27.1,0.36,0.482,0.424,18,316,,1,13,6,41,6,1
Bobby Phills,1997,SG,phillbo01,69,3.1,8.0,CLE,0.484,11.1,0.394,0.9,0.442,0.718,0.428,10.1,3.4,0.8,-0.3,20.6,18.1,6.7,2.8,13.8,0.282,0.514,0.227,62,506,,17,60,45,64,23,14
Brad Lohaus,1997,PF,lohaubr01,6,1.2,1.3,TOR,0.333,2.5,0.286,0.2,0.25,,0.267,16.1,2.5,0.0,-6.3,15.9,3.5,9.1,1.2,6.3,0.467,0.333,0.0,3,2,,0,0,1,0,1,0
Brent Barry,1997,SG,barrybr01,59,2.9,3.5,LAC,0.483,6.4,0.324,0.5,0.481,0.817,0.409,8.9,3.1,1.1,0.6,20.3,23.1,5.9,2.5,15.3,0.456,0.526,0.245,39,350,,4,34,6,44,15,8
Brent Price,1997,PG,pricebr01,25,2.1,2.1,HOU,0.5,4.2,0.321,0.4,0.519,1.0,0.419,5.4,3.1,0.0,-1.1,17.1,25.6,4.3,2.3,21.9,0.505,0.551,0.2,12,141,,3,5,5,15,11,0
Brent Scott,1997,PF,scottbr01,16,0.0,1.1,IND,0.471,1.1,,0.2,0.471,0.5,0.471,12.8,6.6,1.5,-6.5,19.9,9.6,9.8,1.0,16.9,0.0,0.484,0.353,9,6,,0,2,2,1,1,0
Brett Szabo,1997,C,szabobr01,70,0.0,1.7,BOS,0.446,1.7,0.0,0.8,0.45,0.738,0.446,20.5,9.0,3.6,-5.4,12.2,3.7,14.3,1.2,21.7,0.008,0.517,0.504,64,44,,3,24,13,18,5,8
Brian Evans,1997,SF,evansbr01,14,0.6,1.0,ORL,0.455,1.6,0.5,0.1,0.286,,0.364,14.3,1.9,2.6,0.1,18.7,20.5,8.0,0.9,8.3,0.364,0.455,0.0,4,16,,0,0,0,2,0,0
Brian Grant,1997,PF,grantbr01,24,0.0,8.6,SAC,0.44,8.6,,2.0,0.44,0.778,0.44,18.1,9.3,3.1,-2.2,21.5,7.6,13.6,1.7,15.1,0.0,0.511,0.435,44,59,,8,38,20,21,7,4
Brian Shaw,1997,PG,shawbr01,77,2.5,4.2,ORL,0.427,6.7,0.325,0.6,0.391,0.793,0.366,9.5,2.9,1.1,-2.2,18.5,27.8,6.1,1.9,22.7,0.376,0.478,0.271,100,705,,9,45,31,120,23,4
Brooks Thompson,1997,PG,thompbr01,67,3.6,2.4,2TM,0.518,6.1,0.398,0.3,0.401,0.632,0.399,8.3,2.0,0.1,-0.2,21.6,29.3,5.2,2.7,17.1,0.601,0.526,0.094,30,395,,2,13,19,61,11,2
Brooks Thompson,1997,PG,thompbr01,65,3.8,2.5,DEN,0.52,6.2,0.398,0.3,0.404,0.632,0.4,8.4,2.0,0.1,-0.1,21.7,29.4,5.2,2.7,16.9,0.602,0.528,0.094,30,393,,2,13,19,60,11,2
Brooks Thompson,1997,PG,thompbr01,2,0.0,0.5,UTA,0.0,0.5,,0.0,0.0,,0.0,0.0,0.0,0.0,-11.5,11.6,15.8,0.0,0.0,50.0,0.0,0.0,0.0,0,2,,0,0,0,1,0,0
Bruce Bowen,1997,SF,bowenbr01,1,0.0,0.0,MIA,,0.0,,0.0,,,,0.0,0.0,77.8,36.8,0.0,0.0,0.0,0.0,,,,,0,0,,0,0,0,0,0,0
Bryant Reeves,1997,C,reevebr01,75,0.1,13.5,VAN,0.486,13.7,0.091,2.3,0.49,0.704,0.486,18.5,7.2,1.8,-1.8,22.3,10.8,12.8,0.6,13.1,0.011,0.523,0.3,142,387,,28,138,78,67,44,23
Bryant Stith,1997,SG,stithbr01,52,3.5,8.1,DEN,0.474,11.6,0.385,1.4,0.43,0.863,0.416,9.0,4.8,0.8,0.6,20.2,12.5,6.9,1.7,12.5,0.302,0.548,0.388,47,294,,18,86,54,36,23,14
Bryon Russell,1997,SF,russebr01,81,3.3,4.4,UTA,0.566,7.7,0.409,1.0,0.531,0.701,0.479,11.8,4.1,0.9,0.7,15.1,7.3,8.2,2.7,11.4,0.426,0.6,0.394,119,267,,16,76,27,42,12,13
Buck Williams,1997,PF,willibu01,74,0.0,4.4,NYK,0.537,4.4,0.0,2.2,0.538,0.642,0.537,17.9,13.8,2.1,-1.0,14.9,5.8,15.9,1.4,16.3,0.003,0.574,0.549,87,122,,15,83,24,21,13,19
Byron Scott,1997,SG,scottby01,79,2.4,2.4,LAL,0.526,4.8,0.388,0.3,0.471,0.841,0.43,7.6,1.7,0.8,0.6,15.5,10.7,4.7,1.7,10.6,0.496,0.59,0.398,32,217,,8,46,9,23,9,3
Calbert Cheaney,1997,SG,cheanca01,79,0.4,8.9,WSB,0.508,9.2,0.133,0.9,0.521,0.693,0.505,9.5,3.4,0.6,-2.6,16.5,7.2,6.5,1.7,10.6,0.041,0.53,0.188,89,242,,11,48,35,38,14,12
Carl Herrera,1997,PF,herreca01,75,0.1,7.8,SAS,0.435,7.9,0.333,1.6,0.434,0.686,0.433,15.0,7.4,2.3,-4.0,18.7,4.7,11.1,1.9,12.8,0.01,0.463,0.199,101,106,,10,48,50,48,11,19
Carl Thomas,1997,SG,thomaca01,19,0.6,0.6,CLE,0.417,1.3,0.167,0.2,0.583,1.0,0.375,17.2,5.0,1.2,-3.9,19.8,18.4,11.0,1.5,19.7,0.5,0.43,0.042,3,18,,1,1,0,3,0,1
Carlos Rogers,1997,PF,rogerca01,56,1.2,6.0,TOR,0.556,7.2,0.379,2.1,0.553,0.6,0.525,15.9,9.8,3.9,0.8,17.0,4.6,12.7,1.6,10.0,0.163,0.575,0.421,81,85,,19,74,23,21,19,4
Cedric Ceballos,1997,SF,cebalce01,50,2.0,10.3,2TM,0.478,12.3,0.255,2.0,0.497,0.747,0.457,18.5,8.4,1.2,-0.1,24.7,7.6,13.5,1.2,10.8,0.165,0.522,0.301,44,142,,17,83,57,33,18,5
Cedric Ceballos,1997,SF,cebalce01,8,2.6,7.8,LAL,0.44,10.4,0.238,1.4,0.468,0.867,0.41,17.0,4.5,1.6,-2.0,17.1,8.5,10.8,0.9,15.9,0.253,0.48,0.181,5,33,,2,4,9,11,3,1
Cedric Ceballos,1997,SF,cebalce01,42,1.9,10.8,PHO,0.484,12.7,0.259,2.2,0.501,0.737,0.464,18.8,9.3,1.1,0.4,26.6,7.4,14.1,1.3,10.0,0.152,0.528,0.32,39,109,,15,79,48,22,15,4
Charles Barkley,1997,PF,barklch01,53,3.9,9.2,HOU,0.526,13.1,0.283,4.0,0.569,0.694,0.484,27.7,12.9,0.9,4.5,23.2,20.6,20.7,1.8,14.7,0.296,0.581,0.6,57,586,,46,178,47,74,24,15
